EDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2015-10-1,65,61,57,57,52,47,86,73,60,30.12,30.05,29.94,10,8,2,24,16,30,0.49,8,Rain,39
2015-10-2,57,54,50,51,47,45,86,82,77,30.19,30.14,30.10,10,6,1,32,23,45,1.55,8,Rain,41
2015-10-3,57,53,49,51,49,46,89,83,77,30.28,30.21,30.15,10,9,3,26,19,35,0.01,8,Rain,49
2015-10-4,63,59,55,49,47,44,77,65,52,30.28,30.25,30.22,10,10,10,24,15,35,0.00,7,,53
2015-10-5,69,60,51,47,44,42,72,57,42,30.20,30.15,30.10,10,10,10,18,10,25,0.00,4,,42
2015-10-6,75,63,51,55,48,41,83,57,31,30.10,30.03,29.96,10,10,10,10,5,17,0.00,2,,334
2015-10-7,75,67,59,53,52,50,78,61,43,30.07,30.02,29.98,10,10,10,15,6,21,0.00,4,,333
2015-10-8,76,67,57,58,54,52,86,65,43,30.15,30.10,30.07,10,10,10,13,3,15,0.00,3,,183
2015-10-9,80,70,60,63,60,55,90,74,58,30.09,29.92,29.79,10,8,2,30,10,37,0.29,7,Rain-Thunderstorm,241
2015-10-10,66,59,52,55,41,37,73,54,34,30.16,30.09,29.96,10,10,10,18,8,25,0.00,4,,37
2015-10-11,70,59,47,49,45,41,86,62,37,30.08,29.98,29.90,10,10,10,12,5,17,0.00,2,,242
2015-10-12,76,64,51,54,49,34,89,56,23,29.91,29.84,29.72,10,9,4,14,6,19,0.00,0,,210
2015-10-13,76,68,59,59,56,50,90,70,50,29.71,29.61,29.55,10,10,10,20,9,23,T,6,,225
2015-10-14,68,63,57,49,46,42,72,57,42,29.91,29.80,29.72,10,10,10,18,11,24,0.00,6,,272
2015-10-15,66,59,52,45,41,36,71,53,34,30.06,30.00,29.91,10,10,10,17,9,23,0.00,2,,273
2015-10-16,66,58,50,49,39,33,83,57,31,30.10,30.02,29.94,10,10,10,18,9,25,T,3,,270
2015-10-17,57,51,45,37,32,24,71,51,30,30.25,30.16,30.09,10,10,10,21,11,29,T,4,,303
2015-10-18,53,46,38,33,28,23,76,55,33,30.43,30.32,30.26,10,10,10,23,9,28,T,4,,326
2015-10-19,55,45,35,34,29,24,76,56,35,30.54,30.44,30.34,10,10,10,15,8,22,0.00,0,,255
2015-10-20,71,59,47,44,39,35,76,52,27,30.33,30.28,30.22,10,10,10,21,13,24,0.00,2,,231
2015-10-21,76,63,50,50,46,42,83,57,31,30.36,30.30,30.27,10,10,10,10,6,12,0.00,2,,223
2015-10-22,77,64,50,51,48,44,83,60,36,30.26,30.19,30.10,10,10,7,18,8,22,0.00,4,,229
2015-10-23,65,57,48,53,37,28,78,52,26,30.34,30.23,30.13,10,10,10,20,10,24,0.00,1,,360
2015-10-24,64,54,43,48,38,31,72,56,39,30.39,30.32,30.20,10,10,10,13,7,17,0.00,6,,100
2015-10-25,71,62,52,55,49,35,84,66,47,30.30,30.13,30.07,10,10,9,22,11,32,T,7,Rain,252
2015-10-26,60,53,45,38,36,35,71,55,39,30.51,30.42,30.30,10,10,10,16,5,23,0.00,5,,7
2015-10-27,62,52,42,46,41,36,83,68,53,30.55,30.49,30.43,10,10,10,16,8,21,0.00,7,,57
2015-10-28,72,63,54,66,61,46,90,81,72,30.41,29.97,29.65,10,6,1,29,15,39,0.58,8,Rain,126
2015-10-29,72,65,58,66,54,33,90,60,29,29.81,29.65,29.60,10,9,2,29,12,33,0.59,7,Rain,252
2015-10-30,60,53,45,36,34,31,58,49,39,30.14,29.98,29.82,10,10,10,22,10,30,0.00,2,,291
2015-10-31,58,49,40,42,35,32,71,56,40,30.26,30.18,30.05,10,10,10,12,5,14,0.00,4,,251
2015-11-1,65,59,52,54,50,43,80,72,63,30.06,29.98,29.91,10,10,10,20,11,23,0.00,7,,221
2015-11-2,65,58,50,53,48,44,93,71,48,30.15,30.09,30.04,10,9,5,7,2,12,0.00,6,,247
2015-11-3,76,61,46,49,45,41,86,59,31,30.28,30.20,30.14,10,10,7,9,3,18,0.00,0,,222
2015-11-4,80,65,49,56,48,43,86,58,30,30.35,30.32,30.28,10,10,6,12,4,16,0.00,0,,138
2015-11-5,69,63,56,64,60,51,93,86,78,30.32,30.24,30.14,10,5,0,14,4,18,0.10,8,Fog-Rain,191
2015-11-6,77,72,66,64,64,62,93,79,64,30.13,30.03,29.88,10,5,0,23,10,30,0.02,8,Fog,205
2015-11-7,69,62,54,62,46,32,84,62,39,30.21,30.05,29.97,10,10,10,20,8,23,0.01,7,Rain,286
2015-11-8,59,52,44,37,31,26,71,51,30,30.46,30.38,30.24,10,10,10,20,6,25,0.00,2,,310
2015-11-9,61,50,39,42,35,30,85,59,32,30.48,30.40,30.26,10,10,10,12,4,16,0.00,6,,57
2015-11-10,62,58,54,57,55,45,93,77,61,30.24,29.94,29.76,10,5,2,21,12,29,0.65,8,Rain-Thunderstorm,40
2015-11-11,65,60,54,52,50,47,86,73,60,29.98,29.86,29.77,10,9,2,20,10,25,0.01,6,Rain,325
2015-11-12,61,55,49,55,50,38,93,75,57,29.97,29.80,29.57,10,9,2,24,7,33,0.13,7,Rain,187
2015-11-13,59,54,48,42,30,17,71,49,26,29.93,29.77,29.67,10,10,10,33,16,40,0.00,3,,268
2015-11-14,51,46,40,27,24,19,49,39,29,30.32,30.14,29.94,10,10,10,29,13,34,0.00,2,,291
2015-11-15,61,49,37,37,31,26,76,53,29,30.38,30.30,30.24,10,10,10,20,10,22,0.00,2,,236
2015-11-16,70,57,44,41,35,29,71,47,22,30.32,30.25,30.20,10,10,10,15,7,21,0.00,0,,258
2015-11-17,57,50,42,42,36,31,76,63,50,30.54,30.47,30.33,10,10,10,18,9,23,0.00,4,,70
2015-11-18,63,52,41,53,45,35,82,73,64,30.50,30.42,30.28,10,10,10,17,8,23,0.00,6,,83
2015-11-19,67,61,54,61,59,52,93,83,72,30.27,30.04,29.96,10,6,2,23,10,30,0.82,8,Rain,179
2015-11-20,64,53,42,60,28,14,90,55,19,30.26,30.15,29.97,10,10,10,24,11,34,0.00,2,,317
