month,day,mean temp
1,1,38
1,2,36
1,3,37
1,4,26
1,5,21
1,6,28
1,7,34
1,8,39
1,9,46
1,10,54
1,11,30
1,12,32
1,13,24
1,14,34
1,15,40
1,16,47
1,17,34
1,18,24
1,19,22
1,20,29
1,21,32
1,22,24
1,25,28
1,26,34
1,27,37
1,28,32
1,29,34
1,30,33
1,31,42
2,1,52
2,2,42
2,3,50
2,4,52
2,5,36
2,6,33
2,7,36
2,8,37
2,9,34
2,10,32
2,11,22
2,12,20
2,13,18
2,14,12
2,15,25
2,16,47
2,17,38
2,18,32
2,19,30
2,20,51
2,21,48
2,22,44
2,23,40
2,24,54
2,25,51
2,26,36
2,27,34
2,28,50
2,29,54
3,1,50
3,2,46
3,3,32
3,4,36
3,5,35
3,6,38
3,7,46
3,8,60
3,9,62
3,10,70
3,11,58
3,12,49
3,13,55
3,14,47
3,15,48
3,16,55
3,17,54
3,18,54
3,19,40
3,20,40
3,21,41
3,22,44
3,23,60
3,24,54
3,25,59
3,26,46
3,27,50
3,28,56
3,29,50
3,30,46
3,31,62
4,1,72
4,2,56
4,3,40
4,4,50
4,5,38
4,6,40
4,7,54
4,8,46
4,9,36
4,10,39
4,11,54
4,12,54
4,13,46
4,14,49
4,15,50
4,16,52
4,17,56
4,18,64
4,19,64
4,20,56
4,21,60
4,22,70
4,23,62
4,24,55
4,25,60
4,26,68
4,27,52
4,28,50
4,29,50
4,30,54
5,1,50
5,2,56
5,3,56
5,4,52
5,5,52
5,6,52
5,7,56
5,8,60
5,9,59
5,10,56
5,11,60
5,12,66
5,13,63
5,14,65
5,15,52
5,16,54
5,17,58
5,18,60
5,19,63
5,20,62
5,21,58
5,22,60
5,23,64
5,24,68
5,25,71
5,26,76
5,27,80
5,28,80
5,29,77
5,30,74
5,31,80
6,1,78
6,2,72
6,3,70
6,4,76
6,5,74
6,6,77
6,7,75
6,8,62
6,9,64
6,10,66
6,11,73
6,12,78
6,13,68
6,14,70
6,15,70
6,16,68
6,17,74
6,18,71
6,19,78
6,20,78
6,21,82
6,22,78
6,23,80
6,24,76
6,25,75
6,26,75
6,27,75
6,28,77
6,29,75
6,30,75
7,1,76
7,2,74
7,3,72
7,4,72
7,5,81
7,6,84
7,7,84
7,8,82
7,9,75
7,10,78
7,11,74
7,12,77
7,13,76
7,14,84
7,15,84
7,16,82
7,17,82
7,18,85
7,19,80
7,20,76
7,21,79
7,22,83
7,23,88
7,24,82
7,25,84
7,26,82
7,27,83
7,28,82
7,29,80
7,30,82
7,31,83
8,1,76
8,2,75
8,3,73
8,4,74
8,5,73
8,6,83
8,7,78
8,8,76
8,9,76
8,10,84
8,11,88
8,12,89
8,13,90
8,14,88
8,15,83
8,16,83
8,17,82
8,18,80
8,19,80
8,20,80
8,21,80
8,22,74
8,23,70
8,24,74
8,25,78
8,26,84
8,27,80
8,28,78
8,29,84
8,30,80
8,31,81
9,1,76
9,2,72
9,3,70
9,4,71
9,5,74
9,6,80
9,7,81
9,8,84
9,9,88
9,10,86
9,11,79
9,12,68
9,13,72
9,14,80
9,15,70
9,16,66
9,17,68
9,18,78
9,19,74
9,20,74
9,21,74
9,22,74
9,23,74
9,24,66
9,25,60
9,26,60
9,27,70
9,28,62
9,29,62
9,30,60
10,1,60
10,2,52
10,3,52
10,4,59
10,5,59
10,6,62
10,7,65
10,8,64
10,9,68
10,10,58
10,11,56
10,12,60
10,13,65
10,14,62
10,15,57
10,16,57
10,17,50
10,18,44
10,19,42
10,20,58
10,21,62
10,22,60
10,23,54
10,24,50
10,25,61
10,26,52
10,27,49
10,28,63
10,29,64
10,30,53
10,31,47
11,1,58
11,2,55
11,3,58
11,4,62
11,5,62
11,6,70
11,7,62
11,8,49
11,9,48
11,10,58
11,11,58
11,12,53
11,13,54
11,14,46
11,15,49
11,16,57
11,17,47
11,18,50
11,19,62
11,20,51
11,21,45
11,22,47
11,23,35
11,24,38
11,25,41
11,26,48
11,27,50
11,28,56
11,29,44
11,30,40
12,1,50
12,2,56
12,3,48
12,4,44
12,5,43
12,6,42
12,7,42
12,8,44
12,9,45
12,10,52
12,11,48
12,12,58
12,13,62
12,14,62
12,15,60
12,16,50
12,17,52
12,18,46
12,19,37
12,20,36
12,21,44
12,22,58
12,23,62
12,24,67
12,25,64
12,26,56
12,27,55
12,28,42
12,29,44
12,30,48
12,31,46
