year,month,day,count
2015,10,1,1247
2015,10,10,1974
2015,10,11,1798
2015,10,12,2120
2015,10,13,2077
2015,10,14,2083
2015,10,15,1935
2015,10,16,2006
2015,10,17,1456
2015,10,18,1092
2015,10,19,1641
2015,10,2,382
2015,10,20,1936
2015,10,21,2054
2015,10,22,2153
2015,10,23,2079
2015,10,24,1673
2015,10,25,1468
2015,10,26,1697
2015,10,27,1763
2015,10,28,868
2015,10,29,1901
2015,10,3,966
2015,10,30,1932
2015,10,31,1684
2015,10,4,1367
2015,10,5,1846
2015,10,6,2174
2015,10,7,2114
2015,10,8,2218
2015,10,9,1677
2015,11,1,1309
2015,11,10,697
2015,11,11,1779
2015,11,12,1371
2015,11,13,1638
2015,11,14,1103
2015,11,15,1103
2015,11,16,1691
2015,11,17,1619
2015,11,18,1664
2015,11,19,781
2015,11,2,1725
2015,11,20,1465
2015,11,21,1168
2015,11,22,960
2015,11,23,1120
2015,11,24,1164
2015,11,25,1225
2015,11,26,568
2015,11,27,987
2015,11,28,829
2015,11,29,634
2015,11,3,2011
2015,11,30,1120
2015,11,4,1938
2015,11,5,1539
2015,11,6,1965
2015,11,7,1445
2015,11,8,1337
2015,11,9,1681
2015,12,1,556
2015,12,10,1391
2015,12,11,1516
2015,12,12,1325
2015,12,13,1218
2015,12,14,1206
2015,12,15,1299
2015,12,16,1369
2015,12,17,690
2015,12,18,1040
2015,12,19,622
2015,12,2,905
2015,12,20,492
2015,12,21,1045
2015,12,22,706
2015,12,23,422
2015,12,24,485
2015,12,25,252
2015,12,26,451
2015,12,27,419
2015,12,28,674
2015,12,29,501
2015,12,3,1302
2015,12,30,821
2015,12,31,809
2015,12,4,1319
2015,12,5,966
2015,12,6,943
2015,12,7,1299
2015,12,8,1328
2015,12,9,1395
2016,1,1,639
2016,1,10,576
2016,1,11,767
2016,1,12,868
2016,1,13,716
2016,1,14,891
2016,1,15,999
2016,1,16,717
2016,1,17,364
2016,1,18,396
2016,1,19,521
2016,1,2,549
2016,1,20,740
2016,1,21,784
2016,1,22,567
2016,1,25,1
2016,1,26,6
2016,1,27,317
2016,1,28,565
2016,1,29,604
2016,1,3,511
2016,1,30,437
2016,1,31,596
2016,1,4,672
2016,1,5,629
2016,1,6,767
2016,1,7,848
2016,1,8,981
2016,1,9,753
2016,2,1,685
2016,2,10,677
2016,2,11,605
2016,2,12,521
2016,2,13,215
2016,2,14,179
2016,2,15,206
2016,2,16,500
2016,2,17,826
2016,2,18,746
2016,2,19,749
2016,2,2,969
2016,2,20,877
2016,2,21,750
2016,2,22,1000
2016,2,23,484
2016,2,24,406
2016,2,25,721
2016,2,26,696
2016,2,27,631
2016,2,28,1081
2016,2,29,981
2016,2,3,590
2016,2,4,930
2016,2,5,661
2016,2,6,669
2016,2,7,527
2016,2,8,832
2016,2,9,571
2016,3,1,1137
2016,3,10,1677
2016,3,11,1546
2016,3,12,1302
2016,3,13,689
2016,3,14,387
2016,3,15,1031
2016,3,16,1451
2016,3,17,1438
2016,3,18,1493
2016,3,19,757
2016,3,2,825
2016,3,20,458
2016,3,21,1108
2016,3,22,1308
2016,3,23,1682
2016,3,24,1626
2016,3,25,1565
2016,3,26,1354
2016,3,27,805
2016,3,28,1064
2016,3,29,1429
2016,3,3,842
2016,3,30,1461
2016,3,31,1575
2016,3,4,617
2016,3,5,660
2016,3,6,585
2016,3,7,1084
2016,3,8,1453
2016,3,9,1694
2016,4,1,1510
2016,4,10,850
2016,4,11,1368
2016,4,12,1044
2016,4,13,1500
2016,4,14,1570
2016,4,15,1614
2016,4,16,1779
2016,4,17,1751
2016,4,18,1860
2016,4,19,1666
2016,4,2,1041
2016,4,20,1775
2016,4,21,1917
2016,4,22,1851
2016,4,23,1325
2016,4,24,1789
2016,4,25,1918
2016,4,26,1735
2016,4,27,1678
2016,4,28,1115
2016,4,29,1365
2016,4,3,546
2016,4,30,1677
2016,4,4,916
2016,4,5,1057
2016,4,6,1327
2016,4,7,1142
2016,4,8,1346
2016,4,9,292
2016,5,1,470
2016,5,10,1759
2016,5,11,2016
2016,5,12,2322
2016,5,13,1672
2016,5,14,2056
2016,5,15,1490
2016,5,16,2091
2016,5,17,1331
2016,5,18,2179
2016,5,19,2527
2016,5,2,1496
2016,5,20,2760
2016,5,21,1000
2016,5,22,1485
2016,5,23,1964
2016,5,24,2426
2016,5,25,2466
2016,5,26,2393
2016,5,27,2281
2016,5,28,1996
2016,5,29,1727
2016,5,3,1353
2016,5,30,1702
2016,5,31,2400
2016,5,4,1525
2016,5,5,1707
2016,5,6,505
2016,5,7,1426
2016,5,8,1528
2016,5,9,1869
2016,6,1,2376
2016,6,10,2842
2016,6,11,2416
2016,6,12,2268
2016,6,13,2569
2016,6,14,2736
2016,6,15,2682
2016,6,16,1677
2016,6,17,2714
2016,6,18,2216
2016,6,19,1839
2016,6,2,2594
2016,6,20,2602
2016,6,21,2566
2016,6,22,2625
2016,6,23,2123
2016,6,24,2760
2016,6,25,2345
2016,6,26,2365
2016,6,27,2249
2016,6,28,2331
2016,6,29,2973
2016,6,3,1788
2016,6,30,2790
2016,6,4,2337
2016,6,5,1653
2016,6,6,2498
2016,6,7,2532
2016,6,8,2334
2016,6,9,2778
