date,count,mean temp,mean hum,mean wind,mean dew,mean pressure,mean visib,Events,is_busy
2015-10-1,1247,61,73,16,52,30.05,8,Rain,1
2015-10-10,1974,59,54,8,41,30.09,10,None,3
2015-10-11,1798,59,62,5,45,29.98,10,None,3
2015-10-12,2120,64,56,6,49,29.84,9,None,3
2015-10-13,2077,68,70,9,56,29.61,10,None,3
2015-10-14,2083,63,57,11,46,29.8,10,None,3
2015-10-15,1935,59,53,9,41,30.0,10,None,3
2015-10-16,2006,58,57,9,39,30.02,10,None,3
2015-10-17,1456,51,51,11,32,30.16,10,None,2
2015-10-18,1092,46,55,9,28,30.32,10,None,1
2015-10-19,1641,45,56,8,29,30.44,10,None,2
2015-10-2,382,54,82,23,47,30.14,6,Rain,0
2015-10-20,1936,59,52,13,39,30.28,10,None,3
2015-10-21,2054,63,57,6,46,30.3,10,None,3
2015-10-22,2153,64,60,8,48,30.19,10,None,3
2015-10-23,2079,57,52,10,37,30.23,10,None,3
2015-10-24,1673,54,56,7,38,30.32,10,None,2
2015-10-25,1468,62,66,11,49,30.13,10,Rain,2
2015-10-26,1697,53,55,5,36,30.42,10,None,2
2015-10-27,1763,52,68,8,41,30.49,10,None,2
2015-10-28,868,63,81,15,61,29.97,6,Rain,1
2015-10-29,1901,65,60,12,54,29.65,9,Rain,3
2015-10-3,966,53,83,19,49,30.21,9,Rain,1
2015-10-30,1932,53,49,10,34,29.98,10,None,3
2015-10-31,1684,49,56,5,35,30.18,10,None,2
2015-10-4,1367,59,65,15,47,30.25,10,None,2
2015-10-5,1846,60,57,10,44,30.15,10,None,3
2015-10-6,2174,63,57,5,48,30.03,10,None,3
2015-10-7,2114,67,61,6,52,30.02,10,None,3
2015-10-8,2218,67,65,3,54,30.1,10,None,3
2015-10-9,1677,70,74,10,60,29.92,8,Rain-Thunderstorm,2
2015-11-1,1309,59,72,11,50,29.98,10,None,1
2015-11-10,697,58,77,12,55,29.94,5,Rain-Thunderstorm,0
2015-11-11,1779,60,73,10,50,29.86,9,Rain,2
2015-11-12,1371,55,75,7,50,29.8,9,Rain,2
2015-11-13,1638,54,49,16,30,29.77,10,None,2
2015-11-14,1103,46,39,13,24,30.14,10,None,1
2015-11-15,1103,49,53,10,31,30.3,10,None,1
2015-11-16,1691,57,47,7,35,30.25,10,None,2
2015-11-17,1619,50,63,9,36,30.47,10,None,2
2015-11-18,1664,52,73,8,45,30.42,10,None,2
2015-11-19,781,61,83,10,59,30.04,6,Rain,1
2015-11-2,1725,58,71,2,48,30.09,9,None,2
2015-11-20,1465,53,55,11,28,30.15,10,None,2
2015-11-21,1168,48,56,8,29,30.17,10,None,1
2015-11-22,960,47,60,13,32,29.94,10,None,1
2015-11-23,1120,39,37,12,14,30.12,10,None,1
2015-11-24,1164,42,46,6,23,30.38,10,None,1
2015-11-25,1225,44,56,5,29,30.72,10,None,1
2015-11-26,568,51,65,2,39,30.74,10,None,0
2015-11-27,987,53,67,6,42,30.51,6,Fog,1
2015-11-28,829,55,77,5,48,30.19,9,Rain,1
2015-11-29,634,46,64,8,35,30.24,10,Rain,0
2015-11-3,2011,61,59,3,45,30.2,10,None,3
2015-11-30,1120,42,65,12,32,30.36,10,Rain,1
2015-11-4,1938,65,58,4,48,30.32,10,None,3
2015-11-5,1539,63,86,4,60,30.24,5,Fog-Rain,2
2015-11-6,1965,72,79,10,64,30.03,5,Fog,3
2015-11-7,1445,62,62,8,46,30.05,10,Rain,2
2015-11-8,1337,52,51,6,31,30.38,10,None,2
2015-11-9,1681,50,59,4,35,30.4,10,None,2
2015-12-1,556,51,88,7,49,30.12,4,Rain,0
2015-12-10,1391,54,67,4,43,29.98,9,None,2
2015-12-11,1516,52,78,5,44,29.96,8,Fog,2
2015-12-12,1325,59,71,4,49,30.13,7,Fog,1
2015-12-13,1218,62,73,3,52,30.13,8,Fog,1
2015-12-14,1206,62,77,7,56,29.81,5,Fog-Rain,1
2015-12-15,1299,59,60,16,47,29.62,9,Rain,1
2015-12-16,1369,51,63,7,38,30.08,10,None,2
2015-12-17,690,51,82,4,50,29.83,5,Fog-Rain,0
2015-12-18,1040,48,62,14,34,29.79,9,Rain,1
2015-12-19,622,38,41,17,16,30.18,10,None,0
2015-12-2,905,56,84,6,52,29.84,4,Fog-Rain,1
2015-12-20,492,37,47,9,18,30.51,10,None,0
2015-12-21,1045,47,59,11,36,30.26,10,None,1
2015-12-22,706,58,83,9,53,30.02,8,Rain,0
2015-12-23,422,64,90,8,59,30.0,5,Fog-Rain,0
2015-12-24,485,67,86,10,63,30.0,8,Fog-Rain,0
2015-12-25,252,63,87,4,61,30.16,4,Fog-Rain,0
2015-12-26,451,59,68,10,46,30.36,9,Rain,0
2015-12-27,419,56,82,11,53,30.0,5,Fog-Rain,0
2015-12-28,674,44,66,14,31,30.36,9,Rain,0
2015-12-29,501,47,88,8,46,30.04,5,Rain-Thunderstorm,0
2015-12-3,1302,48,54,14,32,30.01,10,None,1
2015-12-30,821,49,82,4,45,30.18,6,Rain,1
2015-12-31,809,47,70,9,40,30.09,9,None,1
2015-12-4,1319,46,56,8,30,30.47,10,None,1
2015-12-5,966,44,63,4,31,30.67,10,Fog,1
2015-12-6,943,43,66,4,33,30.47,7,None,1
2015-12-7,1299,46,62,5,32,30.16,7,None,1
2015-12-8,1328,43,59,6,29,30.13,10,None,1
2015-12-9,1395,47,74,6,38,30.09,8,None,2
2016-1-1,639,39,50,12,23,30.1,10,None,0
2016-1-10,576,53,68,17,50,29.6,7,Rain,0
2016-1-11,767,33,35,13,7,30.0,10,None,1
2016-1-12,868,35,46,13,17,29.86,9,Snow,1
2016-1-13,716,25,40,16,4,30.05,10,None,0
2016-1-14,891,37,44,9,15,29.97,10,None,1
2016-1-15,999,42,68,4,32,29.8,9,Rain,1
2016-1-16,717,47,68,12,36,29.56,8,Rain,0
2016-1-17,364,36,65,8,25,29.8,7,Snow,0
2016-1-18,396,25,59,19,5,29.96,10,None,0
2016-1-19,521,23,40,18,1,30.18,10,None,0
2016-1-2,549,38,55,7,21,30.08,10,None,0
2016-1-20,740,29,53,9,13,30.21,10,None,0
2016-1-21,784,32,49,10,13,30.21,10,None,1
2016-1-22,567,25,60,10,12,30.2,6,Fog-Snow,0
2016-1-25,1,30,54,2,16,30.27,10,None,0
2016-1-26,6,36,67,6,28,30.06,10,None,0
2016-1-27,317,38,55,10,23,30.09,10,Rain,0
2016-1-28,565,34,60,4,20,29.93,10,None,0
2016-1-29,604,35,61,10,23,29.64,9,Rain-Snow,0
2016-1-3,511,40,58,9,24,29.91,10,None,0
2016-1-30,437,34,51,8,17,30.06,10,None,0
2016-1-31,596,44,60,5,29,29.92,10,None,0
2016-1-4,672,26,45,16,8,30.1,10,None,0
2016-1-5,629,22,36,9,-3,30.61,10,None,0
2016-1-6,767,29,49,5,9,30.55,10,None,1
2016-1-7,848,37,61,1,26,30.3,10,None,1
2016-1-8,981,41,63,6,30,30.18,10,None,1
2016-1-9,753,48,82,8,42,30.12,7,Rain,0
2016-2-1,685,49,72,7,39,29.9,9,Fog-Rain,0
2016-2-10,677,32,64,15,23,29.71,6,Snow,0
2016-2-11,605,25,41,18,2,30.05,10,None,0
2016-2-12,521,21,54,8,6,30.15,8,Snow,0
2016-2-13,215,19,52,18,0,30.16,9,Snow,0
2016-2-14,179,14,33,10,-10,30.51,10,None,0
2016-2-15,206,25,63,7,17,30.33,4,Fog-Rain-Snow,0
2016-2-16,500,47,77,15,43,29.69,6,Fog-Rain,0
2016-2-17,826,39,59,10,25,30.06,10,None,1
2016-2-18,746,32,43,12,10,30.44,10,None,0
2016-2-19,749,31,50,8,13,30.46,10,None,0
2016-2-2,969,44,50,6,27,30.28,10,None,1
2016-2-20,877,50,51,12,31,29.97,10,None,1
2016-2-21,750,50,61,7,38,29.93,9,Rain,0
2016-2-22,1000,46,54,7,29,30.12,10,None,1
2016-2-23,484,40,72,12,35,30.18,6,Rain,0
2016-2-24,406,53,88,15,49,29.72,4,Rain-Thunderstorm,0
2016-2-25,721,51,64,21,37,29.4,8,Rain,0
2016-2-26,696,37,38,18,11,29.94,10,None,0
2016-2-27,631,36,42,11,15,30.11,10,None,0
2016-2-28,1081,50,46,13,27,29.95,10,None,1
2016-2-29,981,54,45,14,32,29.77,10,Rain,1
2016-2-3,590,48,80,8,48,30.0,8,Rain,0
2016-2-4,930,50,66,10,42,29.98,8,Fog-Rain,1
2016-2-5,661,39,63,11,27,30.16,6,Rain-Snow,0
2016-2-6,669,35,56,6,21,30.38,10,None,0
2016-2-7,527,37,58,6,24,30.1,10,None,0
2016-2-8,832,38,65,11,26,29.76,8,Rain-Snow,1
2016-2-9,571,35,82,8,29,29.63,5,Rain-Snow,0
2016-3-1,1137,51,49,10,32,29.98,10,Rain,1
2016-3-10,1677,70,50,11,49,29.99,10,None,2
2016-3-11,1546,60,48,10,41,30.14,10,Rain,2
2016-3-12,1302,51,49,7,31,30.24,10,None,1
2016-3-13,689,55,64,5,41,30.05,10,Rain,0
2016-3-14,387,48,86,14,43,29.98,4,Rain,0
2016-3-15,1031,50,79,7,44,29.83,8,Rain,1
2016-3-16,1451,56,72,5,46,29.82,7,Fog-Rain-Thunderstorm,2
2016-3-17,1438,53,67,7,42,29.87,6,Fog-Rain,2
2016-3-18,1493,56,40,14,22,29.87,10,None,2
2016-3-19,757,43,55,7,26,30.1,10,Rain,1
2016-3-2,825,47,52,20,27,29.76,9,Rain,1
2016-3-20,458,39,62,11,26,30.04,9,Rain-Snow,0
2016-3-21,1108,43,52,15,22,29.92,9,Rain-Snow,1
2016-3-22,1308,46,41,11,22,30.14,10,None,1
2016-3-23,1682,61,41,11,33,29.99,10,None,2
2016-3-24,1626,58,61,10,42,29.96,10,None,2
2016-3-25,1565,61,55,14,51,29.78,10,Rain,2
2016-3-26,1354,49,54,9,32,30.29,10,None,2
2016-3-27,805,52,69,10,40,30.29,9,Rain,1
2016-3-28,1064,59,63,16,43,29.78,7,Rain,1
2016-3-29,1429,52,32,16,20,30.03,10,None,2
2016-3-3,842,34,38,7,13,30.23,8,Snow,1
2016-3-30,1461,48,36,9,18,30.3,10,None,2
2016-3-31,1575,62,56,16,46,29.96,10,Rain,2
2016-3-4,617,36,70,11,26,30.1,5,Snow,0
2016-3-5,660,36,45,7,17,30.19,10,None,0
2016-3-6,585,40,54,3,23,30.28,10,None,0
2016-3-7,1084,47,59,11,32,30.2,9,None,1
2016-3-8,1453,56,46,6,35,30.13,10,None,2
2016-3-9,1694,63,46,5,39,30.1,10,None,2
2016-4-1,1510,73,66,14,60,29.63,10,Rain-Thunderstorm,2
2016-4-10,850,41,45,9,18,30.31,10,None,1
2016-4-11,1368,57,50,14,38,30.14,10,Rain,2
2016-4-12,1044,55,55,14,44,30.06,8,Rain,1
2016-4-13,1500,49,41,8,24,30.36,10,None,2
2016-4-14,1570,52,48,6,31,30.34,10,None,2
2016-4-15,1614,53,49,5,31,30.42,10,None,2
2016-4-16,1779,54,49,6,30,30.42,10,None,2
2016-4-17,1751,59,42,6,31,30.39,10,None,2
2016-4-18,1860,65,43,6,35,30.19,10,None,3
2016-4-19,1666,66,42,13,35,30.05,10,None,2
2016-4-2,1041,56,57,12,42,29.51,9,Rain-Thunderstorm,1
2016-4-20,1775,55,28,8,24,30.24,10,None,2
2016-4-21,1917,60,47,10,40,30.12,10,None,3
2016-4-22,1851,70,60,10,55,29.91,10,Rain,3
2016-4-23,1325,61,63,12,52,29.85,8,Rain,1
2016-4-24,1789,58,41,9,23,30.06,10,None,3
2016-4-25,1918,63,56,6,45,29.96,10,None,3
2016-4-26,1735,69,58,12,55,29.72,8,Rain-Thunderstorm,2
2016-4-27,1678,53,75,7,43,29.92,9,None,2
2016-4-28,1115,51,64,8,40,30.03,8,Rain,1
2016-4-29,1365,49,74,9,41,30.07,9,Rain,2
2016-4-3,546,42,36,21,14,29.79,10,None,0
2016-4-30,1677,56,64,7,40,30.2,10,Rain,2
2016-4-4,916,51,59,10,37,29.87,9,Rain,1
2016-4-5,1057,38,41,15,12,30.27,9,Snow,1
2016-4-6,1327,42,47,11,19,30.25,10,None,1
2016-4-7,1142,55,60,16,47,29.54,8,Rain,1
2016-4-8,1346,47,50,16,26,29.69,10,Rain,2
2016-4-9,292,39,65,10,30,29.79,6,Rain-Snow,0
2016-5-1,470,51,80,6,45,30.14,6,Rain,0
2016-5-10,1759,56,59,6,39,30.23,10,Rain,2
2016-5-11,2016,59,69,4,49,30.17,9,None,3
2016-5-12,2322,66,70,6,56,30.09,7,None,3
2016-5-13,1672,65,85,7,59,29.86,7,Rain,2
2016-5-14,2056,65,63,9,51,29.75,10,Rain,3
2016-5-15,1490,53,43,17,31,29.89,10,None,2
2016-5-16,2091,55,43,15,29,30.14,10,None,3
2016-5-17,1331,57,72,5,47,30.19,9,Rain,2
2016-5-18,2179,61,61,7,44,30.12,9,Rain,3
2016-5-19,2527,64,55,5,43,30.11,10,Rain,3
2016-5-2,1496,57,83,5,50,29.97,7,Rain-Thunderstorm,2
2016-5-20,2760,65,48,5,40,30.22,10,None,3
2016-5-21,1000,58,78,10,50,30.0,6,Rain,1
2016-5-22,1485,59,71,7,50,29.85,10,Rain,2
2016-5-23,1964,66,68,5,54,29.9,9,Rain-Thunderstorm,3
2016-5-24,2426,70,58,9,50,29.93,10,Rain,3
2016-5-25,2466,73,46,8,48,30.09,10,None,3
2016-5-26,2393,77,48,7,55,30.08,10,None,3
2016-5-27,2281,80,60,9,64,30.06,10,None,3
2016-5-28,1996,79,59,9,62,30.13,10,None,3
2016-5-29,1727,77,60,7,64,30.11,8,Rain,2
2016-5-3,1353,56,82,9,52,29.83,7,Rain-Thunderstorm,2
2016-5-30,1702,74,80,6,68,30.0,8,Rain,2
2016-5-31,2400,79,58,7,61,29.95,10,None,3
2016-5-4,1525,53,77,10,46,29.75,9,Rain,2
2016-5-5,1707,54,73,11,45,29.69,9,Rain,2
2016-5-6,505,53,78,11,47,29.68,6,Rain,0
